topic,degree_level,related_skill,is_degree_related_to_skill,cluster_ignore,source_ignore,degree_topic,tfidf
Chemical Engineering,Bachelor,Chemical Engineering,,11,Bachelor Cycle - Chemistry and Chemical Engineering - EPFL,Chemical Engineering,0.06036111713131076
Chemical Engineering,Bachelor,Instructional Design,,11,Bachelor Cycle - Chemistry and Chemical Engineering - EPFL,Chemical Engineering,0.04137869508433345
Chemical Engineering,Bachelor,Chemistry,,11,Bachelor Cycle - Chemistry and Chemical Engineering - EPFL,Chemical Engineering,0.047970572261726456
Chemical Engineering,Bachelor,Equations,,11,Bachelor Cycle - Chemistry and Chemical Engineering - EPFL,Chemical Engineering,0.0428921191076874
Chemical Engineering,Bachelor,Calculations,,11,Bachelor Cycle - Chemistry and Chemical Engineering - EPFL,Chemical Engineering,0.03643295752041096
Chemical Engineering,Bachelor,Quantum,,11,Bachelor Cycle - Chemistry and Chemical Engineering - EPFL,Chemical Engineering,0.03966578917782099
Chemical Engineering,Bachelor,Biotechnology,,11,Bachelor Cycle - Chemistry and Chemical Engineering - EPFL,Chemical Engineering,0.04137869508433345
Chemical Engineering,Bachelor,Inorganic Chemistry,,11,Bachelor Cycle - Chemistry and Chemical Engineering - EPFL,Chemical Engineering,0.07413612098898024
Chemical Engineering,Bachelor,Organic Chemistry,,11,Bachelor Cycle - Chemistry and Chemical Engineering - EPFL,Chemical Engineering,0.06428182603226093
Chemical Engineering,Bachelor,Knowledge of Mathematics,,11,Bachelor Cycle - Chemistry and Chemical Engineering - EPFL,Chemical Engineering,0.031623230641732086
Chemical Engineering,Bachelor,Physical Chemistry,,11,Bachelor Cycle - Chemistry and Chemical Engineering - EPFL,Chemical Engineering,0.061565932639560804
Chemical Engineering,Bachelor,Optics and Eyewear,,11,Bachelor Cycle - Chemistry and Chemical Engineering - EPFL,Chemical Engineering,0.04032945559111431
Chemical Engineering,Bachelor,Ligand,,11,Bachelor Cycle - Chemistry and Chemical Engineering - EPFL,Chemical Engineering,0.06428182603226093
Chemical Engineering,Bachelor,Redox,,11,Bachelor Cycle - Chemistry and Chemical Engineering - EPFL,Chemical Engineering,0.06754424381158723
Chemical Engineering,Bachelor,Laboratory Techniques,,11,Bachelor Cycle - Chemistry and Chemical Engineering - EPFL,Chemical Engineering,0.048521729094460675
Chemical Engineering,Bachelor,Organic Synthesis,,11,Bachelor Cycle - Chemistry and Chemical Engineering - EPFL,Chemical Engineering,0.07710022637103009
